No.,CATEGORY,RISK STATEMENT,RISK DESCRIPTION,Primary Impacted Stakeholder,Family (TBD),ToIP LAYER,TRUST AREAS AFFECTED,SEVERITY,LIKELIHOOD,RISK IMPACT,RISK CONSIDERATION ACTIONS,RISK TREATMENT,RISK TREATMENT ACTIONS,RESIDUAL RISK,NOTES
1,Governance,Policy drift,Cause: Decentralised autonomy | Consequence: Fragmentation,Governing Authority,,,,High,Medium,High,Policy harmonisation,,,Medium,Risk ID: G1 | Source fields: Risk Statement=Policy drift; Cause=Decentralised autonomy; Consequence=Fragmentation; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Policy harmonisation; Residual Risk=Medium; Owner=Governing Authority,,,,,,,,,,,,,,
12,Schemas,Schema collisions,Cause: Uncoordinated upgrades | Consequence: Validation errors,Standards Body,,,,High,Medium,High,Version negotiation,,,Medium,Risk ID: S2 | Source fields: Risk Statement=Schema collisions; Cause=Uncoordinated upgrades; Consequence=Validation errors; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Version negotiation; Residual Risk=Medium; Owner=Standards Body,,,,,,,,,,,,,,
13,Schemas,Under-specification,Cause: Incomplete requirements | Consequence: Unsafe implementations,Standards Council,,,,High,Medium,High,Mandatory profiles,,,Medium,Risk ID: S3 | Source fields: Risk Statement=Under-specification; Cause=Incomplete requirements; Consequence=Unsafe implementations; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Mandatory profiles; Residual Risk=Medium; Owner=Standards Council,,,,,,,,,,,,,,
14,Schemas,Over-specification,Cause: Feature creep | Consequence: Low adoption,WG,,,,Medium,Medium,Medium,Lean standards,,,Low,Risk ID: S4 | Source fields: Risk Statement=Over-specification; Cause=Feature creep; Consequence=Low adoption; Likelihood=Medium; Impact=Medium; Inherent Risk=Medium; Controls=Lean standards; Residual Risk=Low; Owner=WG,,,,,,,,,,,,,,
15,Schemas,Model drift,Cause: Domain change | Consequence: Schema invalidity,DTGWG,,,,Medium,Medium,Medium,Periodic reviews,,,Low,Risk ID: S5 | Source fields: Risk Statement=Model drift; Cause=Domain change; Consequence=Schema invalidity; Likelihood=Medium; Impact=Medium; Inherent Risk=Medium; Controls=Periodic reviews; Residual Risk=Low; Owner=DTGWG,,,,,,,,,,,,,,
16,Network Managers,Trust graph manipulation,Cause: Biased policies | Consequence: Unfair ranking,Community Managers,,,,Critical,Medium,Critical,Audits,,,High,Risk ID: NM1 | Source fields: Risk Statement=Trust graph manipulation; Cause=Biased policies; Consequence=Unfair ranking; Likelihood=Medium; Impact=Critical; Inherent Risk=Critical; Controls=Audits; Residual Risk=High; Owner=Community Managers,,,,,,,,,,,,,,
17,Network Managers,Misissuance by orgs,Cause: Weak checks | Consequence: Contamination,Credential Board,,,,High,Medium,High,Issuer accreditation,,,Medium,Risk ID: NM2 | Source fields: Risk Statement=Misissuance by orgs; Cause=Weak checks; Consequence=Contamination; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Issuer accreditation; Residual Risk=Medium; Owner=Credential Board,,,,,,,,,,,,,,
18,Network Managers,rCard lifecycle failures,Cause: Stale relationships | Consequence: Privacy leakage,Personal Manager,,,,High,Medium,High,Lifecycle API,,,Medium,Risk ID: NM3 | Source fields: Risk Statement=rCard lifecycle failures; Cause=Stale relationships; Consequence=Privacy leakage; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Lifecycle API; Residual Risk=Medium; Owner=Personal Manager,,,,,,,,,,,,,,
19,Network Managers,Storage misconfig,Cause: Weak encryption | Consequence: Breach,Tech Providers,,,,Critical,Medium,Critical,HSM storage,,,Medium,Risk ID: NM4 | Source fields: Risk Statement=Storage misconfig; Cause=Weak encryption; Consequence=Breach; Likelihood=Medium; Impact=Critical; Inherent Risk=Critical; Controls=HSM storage; Residual Risk=Medium; Owner=Tech Providers,,,,,,,,,,,,,,
20,Network Managers,Policy drift across communities,Cause: Uncoordinated governance | Consequence: Interoperability issues,Community Council,,,,High,Medium,High,Governance sync,,,Medium,Risk ID: NM5 | Source fields: Risk Statement=Policy drift across communities; Cause=Uncoordinated governance; Consequence=Interoperability issues; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Governance sync; Residual Risk=Medium; Owner=Community Council,,,,,,,,,,,,,,
21,Credentials,Credential misissuance,Cause: Human error | Consequence: Fraud propagation,Issuer,,,,High,High,Critical,Issuance policy,,,Medium,Risk ID: C1 | Source fields: Risk Statement=Credential misissuance; Cause=Human error; Consequence=Fraud propagation; Likelihood=High; Impact=High; Inherent Risk=Critical; Controls=Issuance policy; Residual Risk=Medium; Owner=Issuer,,,,,,,,,,,,,,
22,Credentials,Misbinding,Cause: Weak binding checks | Consequence: Wrong entity assignment,Issuer,,,,Critical,Medium,Critical,Binding proofs,,,Medium,Risk ID: C2 | Source fields: Risk Statement=Misbinding; Cause=Weak binding checks; Consequence=Wrong entity assignment; Likelihood=Medium; Impact=Critical; Inherent Risk=Critical; Controls=Binding proofs; Residual Risk=Medium; Owner=Issuer,,,,,,,,,,,,,,
23,Credentials,Revocation failures,Cause: Poor registry sync | Consequence: Stale creds,Registry Admin,,,,High,Medium,High,Real-time revocation,,,Medium,Risk ID: C3 | Source fields: Risk Statement=Revocation failures; Cause=Poor registry sync; Consequence=Stale creds; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Real-time revocation; Residual Risk=Medium; Owner=Registry Admin,,,,,,,,,,,,,,
24,Credentials,Verifier overreach,Cause: Poor UX | Consequence: Data exploitation,Verifier,,,,Medium,Medium,Medium,Selective disclosure,,,Low,Risk ID: C4 | Source fields: Risk Statement=Verifier overreach; Cause=Poor UX; Consequence=Data exploitation; Likelihood=Medium; Impact=Medium; Inherent Risk=Medium; Controls=Selective disclosure; Residual Risk=Low; Owner=Verifier,,,,,,,,,,,,,,
25,Credentials,Protocol downgrade,Cause: Adversarial forcing | Consequence: Weak verification,Verifier,,,,High,Low,Medium,Protocol enforcement,,,Low,Risk ID: C5 | Source fields: Risk Statement=Protocol downgrade; Cause=Adversarial forcing; Consequence=Weak verification; Likelihood=Low; Impact=High; Inherent Risk=Medium; Controls=Protocol enforcement; Residual Risk=Low; Owner=Verifier,,,,,,,,,,,,,,
26,Cryptography,Key leakage,Cause: Weak storage | Consequence: Systemic compromise,Tech Provider,,,,Critical,Medium,Critical,HSM,,,Medium,Risk ID: CR1 | Source fields: Risk Statement=Key leakage; Cause=Weak storage; Consequence=Systemic compromise; Likelihood=Medium; Impact=Critical; Inherent Risk=Critical; Controls=HSM; Residual Risk=Medium; Owner=Tech Provider,,,,,,,,,,,,,,
27,Cryptography,Weak entropy,Cause: Bad RNG | Consequence: Key vulnerability,Crypto Maintainer,,,,High,Low,Medium,Entropy validation,,,Low,Risk ID: CR2 | Source fields: Risk Statement=Weak entropy; Cause=Bad RNG; Consequence=Key vulnerability; Likelihood=Low; Impact=High; Inherent Risk=Medium; Controls=Entropy validation; Residual Risk=Low; Owner=Crypto Maintainer,,,,,,,,,,,,,,
28,Cryptography,Registry poisoning,Cause: Malicious writes | Consequence: Graph corruption,Registry Admin,,,,Critical,Medium,Critical,Signed entries,,,Medium,Risk ID: CR3 | Source fields: Risk Statement=Registry poisoning; Cause=Malicious writes; Consequence=Graph corruption; Likelihood=Medium; Impact=Critical; Inherent Risk=Critical; Controls=Signed entries; Residual Risk=Medium; Owner=Registry Admin,,,,,,,,,,,,,,
29,Cryptography,Side-channel leaks,Cause: Hardware flaws | Consequence: Data inference,Infra Provider,,,,High,Low,Medium,Mitigation guards,,,Low,Risk ID: CR4 | Source fields: Risk Statement=Side-channel leaks; Cause=Hardware flaws; Consequence=Data inference; Likelihood=Low; Impact=High; Inherent Risk=Medium; Controls=Mitigation guards; Residual Risk=Low; Owner=Infra Provider,,,,,,,,,,,,,,
30,Cryptography,Unbounded registry growth,Cause: Poor pruning | Consequence: Performance issues,Registry Admin,,,,Medium,Medium,Medium,Archiving policies,,,Low,Risk ID: CR5 | Source fields: Risk Statement=Unbounded registry growth; Cause=Poor pruning; Consequence=Performance issues; Likelihood=Medium; Impact=Medium; Inherent Risk=Medium; Controls=Archiving policies; Residual Risk=Low; Owner=Registry Admin,,,,,,,,,,,,,,
31,AI Agents,Hallucinated decisions,Cause: LLM unpredictability | Consequence: False trust actions,AI Providers,,,,High,Medium,High,Policy constraints,,,Medium,Risk ID: AI1 | Source fields: Risk Statement=Hallucinated decisions; Cause=LLM unpredictability; Consequence=False trust actions; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Policy constraints; Residual Risk=Medium; Owner=AI Providers,,,,,,,,,,,,,,
32,AI Agents,Model poisoning,Cause: Malicious supply chain | Consequence: Compromised decisions,Model Provider,,,,Critical,Medium,Critical,Signed models,,,Medium,Risk ID: AI2 | Source fields: Risk Statement=Model poisoning; Cause=Malicious supply chain; Consequence=Compromised decisions; Likelihood=Medium; Impact=Critical; Inherent Risk=Critical; Controls=Signed models; Residual Risk=Medium; Owner=Model Provider,,,,,,,,,,,,,,
33,AI Agents,Over-autonomy,Cause: Weak scoping | Consequence: Unintended actions,Agent Owner,,,,Critical,Medium,Critical,Kill switches,,,Medium,Risk ID: AI3 | Source fields: Risk Statement=Over-autonomy; Cause=Weak scoping; Consequence=Unintended actions; Likelihood=Medium; Impact=Critical; Inherent Risk=Critical; Controls=Kill switches; Residual Risk=Medium; Owner=Agent Owner,,,,,,,,,,,,,,
34,AI Agents,Adversarial inputs,Cause: Hostile prompts | Consequence: Misleading outputs,AI Security,,,,High,Medium,High,Input sanitisation,,,Medium,Risk ID: AI4 | Source fields: Risk Statement=Adversarial inputs; Cause=Hostile prompts; Consequence=Misleading outputs; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Input sanitisation; Residual Risk=Medium; Owner=AI Security,,,,,,,,,,,,,,
35,AI Agents,Recursive agent behaviour,Cause: Improper looping | Consequence: Runaway operations,Agent Owner,,,,High,Low,Medium,Rate limiters,,,Low,Risk ID: AI5 | Source fields: Risk Statement=Recursive agent behaviour; Cause=Improper looping; Consequence=Runaway operations; Likelihood=Low; Impact=High; Inherent Risk=Medium; Controls=Rate limiters; Residual Risk=Low; Owner=Agent Owner,,,,,,,,,,,,,,
36,External,Marketplace malicious inputs,Cause: Unvetted assets | Consequence: Ecosystem contamination,Marketplace Admin,,,,High,Medium,High,Sandboxing,,,Medium,Risk ID: EX1 | Source fields: Risk Statement=Marketplace malicious inputs; Cause=Unvetted assets; Consequence=Ecosystem contamination; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Sandboxing; Residual Risk=Medium; Owner=Marketplace Admin,,,,,,,,,,,,,,
37,External,Cross-policy incompatibility,Cause: Governance mismatch | Consequence: Interop breaks,Gov Council,,,,Medium,Medium,Medium,Policy negotiation,,,Low,Risk ID: EX2 | Source fields: Risk Statement=Cross-policy incompatibility; Cause=Governance mismatch; Consequence=Interop breaks; Likelihood=Medium; Impact=Medium; Inherent Risk=Medium; Controls=Policy negotiation; Residual Risk=Low; Owner=Gov Council,,,,,,,,,,,,,,
38,External,Regulatory volatility,Cause: Frequent changes | Consequence: Compliance overhead,Compliance,,,,High,Medium,High,Legal monitoring,,,Medium,Risk ID: EX3 | Source fields: Risk Statement=Regulatory volatility; Cause=Frequent changes; Consequence=Compliance overhead; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Legal monitoring; Residual Risk=Medium; Owner=Compliance,,,,,,,,,,,,,,
39,External,Jurisdiction conflicts,Cause: Different legal regimes | Consequence: Enforcement issues,Regulatory Affairs,,,,Medium,Medium,Medium,Legal harmonisation,,,Low,Risk ID: EX4 | Source fields: Risk Statement=Jurisdiction conflicts; Cause=Different legal regimes; Consequence=Enforcement issues; Likelihood=Medium; Impact=Medium; Inherent Risk=Medium; Controls=Legal harmonisation; Residual Risk=Low; Owner=Regulatory Affairs,,,,,,,,,,,,,,
40,External,Utility failure,Cause: Infra outage | Consequence: Ecosystem downtime,Infra Provider,,,,Critical,Low,High,Redundancy,,,Low,Risk ID: EX5 | Source fields: Risk Statement=Utility failure; Cause=Infra outage; Consequence=Ecosystem downtime; Likelihood=Low; Impact=Critical; Inherent Risk=High; Controls=Redundancy; Residual Risk=Low; Owner=Infra Provider,,,,,,,,,,,,,,
41,Human Experience,Low digital literacy,Cause: Complex flows | Consequence: Incorrect usage,UX Team,,,,Medium,High,High,Assisted flows,,,Medium,Risk ID: HX1 | Source fields: Risk Statement=Low digital literacy; Cause=Complex flows; Consequence=Incorrect usage; Likelihood=High; Impact=Medium; Inherent Risk=High; Controls=Assisted flows; Residual Risk=Medium; Owner=UX Team,,,,,,,,,,,,,,
42,Human Experience,Digital exclusion,Cause: Access barriers | Consequence: Unequal participation,Gov Council,,,,High,Medium,High,Multi-channel access,,,Medium,Risk ID: HX2 | Source fields: Risk Statement=Digital exclusion; Cause=Access barriers; Consequence=Unequal participation; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Multi-channel access; Residual Risk=Medium; Owner=Gov Council,,,,,,,,,,,,,,
43,Human Experience,Cognitive overload,Cause: Poor UX | Consequence: Drop-offs,UX Team,,,,Medium,Medium,Medium,Simplified flows,,,Low,Risk ID: HX3 | Source fields: Risk Statement=Cognitive overload; Cause=Poor UX; Consequence=Drop-offs; Likelihood=Medium; Impact=Medium; Inherent Risk=Medium; Controls=Simplified flows; Residual Risk=Low; Owner=UX Team,,,,,,,,,,,,,,
44,Human Experience,Consent ambiguity,Cause: Bad UI | Consequence: Uninformed decisions,UX + Legal,,,,High,Medium,High,Clear consent screens,,,Medium,Risk ID: HX4 | Source fields: Risk Statement=Consent ambiguity; Cause=Bad UI; Consequence=Uninformed decisions; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Clear consent screens; Residual Risk=Medium; Owner=UX + Legal,,,,,,,,,,,,,,
45,Human Experience,Trust graph bias,Cause: Biased data | Consequence: Discrimination,Community Managers,,,,High,Medium,High,Fairness audits,,,Medium,Risk ID: HX5 | Source fields: Risk Statement=Trust graph bias; Cause=Biased data; Consequence=Discrimination; Likelihood=Medium; Impact=High; Inherent Risk=High; Controls=Fairness audits; Residual Risk=Medium; Owner=Community Managers,,,,,,,,,,,,,,
46,Systemic,Cascading credential failures,Cause: Misissuance | Consequence: System collapse,Ecosystem Authority,,,,Critical,Medium,Critical,Circuit breakers,,,Medium,Risk ID: SYS1 | Source fields: Risk Statement=Cascading credential failures; Cause=Misissuance; Consequence=System collapse; Likelihood=Medium; Impact=Critical; Inherent Risk=Critical; Controls=Circuit breakers; Residual Risk=Medium; Owner=Ecosystem Authority,,,,,,,,,,,,,,
47,Systemic,Feedback loop polarisation,Cause: Graph reinforcement | Consequence: Polarisation,Governance Council,,,,High,Low,Medium,Stabilisation policy,,,Low,Risk ID: SYS2 | Source fields: Risk Statement=Feedback loop polarisation; Cause=Graph reinforcement; Consequence=Polarisation; Likelihood=Low; Impact=High; Inherent Risk=Medium; Controls=Stabilisation policy; Residual Risk=Low; Owner=Governance Council,,,,,,,,,,,,,,
48,Systemic,Orphan entities,Cause: Lifecycle neglect | Consequence: Ghost graphs,Identity Admin,,,,Medium,Medium,Medium,Sunset policy,,,Low,Risk ID: SYS3 | Source fields: Risk Statement=Orphan entities; Cause=Lifecycle neglect; Consequence=Ghost graphs; Likelihood=Medium; Impact=Medium; Inherent Risk=Medium; Controls=Sunset policy; Residual Risk=Low; Owner=Identity Admin,,,,,,,,,,,,,,
49,Systemic,Network partitioning,Cause: Governance splits | Consequence: Trust fractures,Gov Authority,,,,High,Low,Medium,Interoperability councils,,,Low,Risk ID: SYS4 | Source fields: Risk Statement=Network partitioning; Cause=Governance splits; Consequence=Trust fractures; Likelihood=Low; Impact=High; Inherent Risk=Medium; Controls=Interoperability councils; Residual Risk=Low; Owner=Gov Authority,,,,,,,,,,,,,,
50,Systemic,Legacy credential persistence,Cause: Long retention | Consequence: Attack vectors,Credential Board,,,,Medium,Medium,Medium,Expiry mandates,,,Low,Risk ID: SYS5 | Source fields: Risk Statement=Legacy credential persistence; Cause=Long retention; Consequence=Attack vectors; Likelihood=Medium; Impact=Medium; Inherent Risk=Medium; Controls=Expiry mandates; Residual Risk=Low; Owner=Credential Board,,,,,,,,,,,,,,
