control_objective_id,domain,control_objective_title,ISO/IEC 27001/27002 alignment (themes),NIST CSF alignment (function-level),NIST AI RMF alignment (function-level),OWASP ASVS alignment (section-level),OWASP SAMM alignment (practice-level),SLSA/OpenSSF alignment,Other relevant references,mapping_note
CO3.3,Operational,Lifecycle governance,Asset management (identity artifacts); Cryptography & key mgmt (where applicable); Supplier/registry assurance,IDENTIFY (ID): asset management; PROTECT (PR): IAM,MANAGE: controls for deployment & operation; MAP: context & dependency mapping,V1 Architecture; V2 Authentication; V4 Access Control; V6 Stored Cryptography,Design: Threat Assessment; Operations: Identity & Access Management,,,Suggested (non-normative) alignment to support procurement and audit discussions.
CO3.4,Operational,Directory/registry correctness,Asset management (identity artifacts); Cryptography & key mgmt (where applicable); Supplier/registry assurance,IDENTIFY (ID): asset management; PROTECT (PR): IAM,MANAGE: controls for deployment & operation; MAP: context & dependency mapping,V1 Architecture; V2 Authentication; V4 Access Control; V6 Stored Cryptography,Design: Threat Assessment; Operations: Identity & Access Management,,,Suggested (non-normative) alignment to support procurement and audit discussions.
CO4.1,Assurance,Evidence completeness,Evidence retention; Internal audit / assurance; Monitoring and measurement,DETECT/RESPOND (DE/RS): monitoring & incident handling (as applicable); GOVERN (GV): risk management,GOVERN: documentation; MANAGE: incident response and controls; MEASURE: evaluation & testing,V1 Architecture (requirements); V14 Configuration (repeatability),Verification: Requirements-driven Testing; Verification: Security Testing,,,Suggested (non-normative) alignment to support procurement and audit discussions.
CO4.2,Assurance,Traceability,Evidence retention; Internal audit / assurance; Monitoring and measurement,DETECT/RESPOND (DE/RS): monitoring & incident handling (as applicable); GOVERN (GV): risk management,GOVERN: documentation; MANAGE: incident response and controls; MEASURE: evaluation & testing,V1 Architecture (requirements); V14 Configuration (repeatability),Verification: Requirements-driven Testing; Verification: Security Testing,,,Suggested (non-normative) alignment to support procurement and audit discussions.
CO4.3,Assurance,Testability,Evidence retention; Internal audit / assurance; Monitoring and measurement,DETECT/RESPOND (DE/RS): monitoring & incident handling (as applicable); GOVERN (GV): risk management,GOVERN: documentation; MANAGE: incident response and controls; MEASURE: evaluation & testing,V1 Architecture (requirements); V14 Configuration (repeatability),Verification: Requirements-driven Testing; Verification: Security Testing,,,Suggested (non-normative) alignment to support procurement and audit discussions.
CO4.4,Assurance,Repeatability,Evidence retention; Internal audit / assurance; Monitoring and measurement,DETECT/RESPOND (DE/RS): monitoring & incident handling (as applicable); GOVERN (GV): risk management,GOVERN: documentation; MANAGE: incident response and controls; MEASURE: evaluation & testing,V1 Architecture (requirements); V14 Configuration (repeatability),Verification: Requirements-driven Testing; Verification: Security Testing,,,Suggested (non-normative) alignment to support procurement and audit discussions.
CO5.1,Transparency,Disclosure baseline,Information security event communication; Stakeholder communication,GOVERN (GV): communication; RESPOND/RECOVER (RS/RC): communications & improvements,GOVERN: transparency & documentation; MANAGE: incident & change communication,,,,OECD AI Principles: transparency & accountability (where AI is in scope),Suggested (non-normative) alignment to support procurement and audit discussions.
CO5.2,Transparency,Change disclosure,Information security event communication; Stakeholder communication,GOVERN (GV): communication; RESPOND/RECOVER (RS/RC): communications & improvements,GOVERN: transparency & documentation; MANAGE: incident & change communication,,,,OECD AI Principles: transparency & accountability (where AI is in scope),Suggested (non-normative) alignment to support procurement and audit discussions.
CO5.3,Transparency,Incident disclosure,Information security event communication; Stakeholder communication,GOVERN (GV): communication; RESPOND/RECOVER (RS/RC): communications & improvements,GOVERN: transparency & documentation; MANAGE: incident & change communication,,,,OECD AI Principles: transparency & accountability (where AI is in scope),Suggested (non-normative) alignment to support procurement and audit discussions.
CO6.1,Resilience,Continuity planning,Backup / recovery; Business continuity; Cryptographic key management; Logging & monitoring,DETECT (DE): monitoring; RECOVER (RC): continuity; RESPOND (RS): incident response,GOVERN: operational resilience; MANAGE: incident handling,V14 Configuration; V6 Stored Cryptography; V7 Error Handling & Logging,Operations: Incident Management; Operations: Operational Enablement,,,Suggested (non-normative) alignment to support procurement and audit discussions.
CO6.2,Resilience,Key management,Backup / recovery; Business continuity; Cryptographic key management; Logging & monitoring,DETECT (DE): monitoring; RECOVER (RC): continuity; RESPOND (RS): incident response,GOVERN: operational resilience; MANAGE: incident handling,V14 Configuration; V6 Stored Cryptography; V7 Error Handling & Logging,Operations: Incident Management; Operations: Operational Enablement,,NIST SP 800-57 / key management guidance (if adopted),Suggested (non-normative) alignment to support procurement and audit discussions.
CO6.3,Resilience,Monitoring & response,Backup / recovery; Business continuity; Cryptographic key management; Logging & monitoring,DETECT (DE): monitoring; RECOVER (RC): continuity; RESPOND (RS): incident response,GOVERN: operational resilience; MANAGE: incident handling,V14 Configuration; V6 Stored Cryptography; V7 Error Handling & Logging,Operations: Incident Management; Operations: Operational Enablement,,OpenTelemetry logging/trace guidance (implementation choice),Suggested (non-normative) alignment to support procurement and audit discussions.
